name,price,category,description,stock,barcode,expiry_date
"Coca Cola 500ml",15.99,cold_drinks,"Refreshing cola drink bottle",50,"6001234567890","2025-12-31"
"Fanta Orange 500ml",14.99,cold_drinks,"Orange flavored soft drink",45,"6001234567891","2025-12-31"
"Sprite 500ml",15.99,cold_drinks,"Lemon-lime flavored carbonated drink",40,"6001234567892","2025-12-31"
"White Bread Sliced",12.50,bread_baked,"Fresh white sliced bread",30,"6009012345678","2024-12-25"
"Brown Bread",13.50,bread_baked,"Whole wheat brown bread",25,"6009012345679","2024-12-24"
"Lays Chips Original",8.50,snacks_chips,"Crispy potato chips - original flavor",100,"6001234567893","2025-06-15"
"Simba Chips Cheese",8.50,snacks_chips,"Corn chips with cheese flavor",80,"6001234567894","2025-06-15"
"Nik Naks Chutney",7.99,snacks_chips,"Spicy corn snack",60,"6001234567895","2025-06-15"
"Milky Bar Chocolate",6.99,sweets_treats,"White chocolate bar",150,"6001234567896","2025-03-31"
"Cadbury Dairy Milk",7.49,sweets_treats,"Smooth milk chocolate bar",140,"6001234567897","2025-03-31"
"Gum Chicle",2.50,sweets_treats,"Sugar-free chewing gum",200,"6001234567898","2025-09-30"
"Sugar 2kg",18.50,basic_groceries,"White granulated sugar 2kg bag",30,"6001234567899","2026-01-31"
"Flour 2kg",16.99,basic_groceries,"All-purpose wheat flour 2kg bag",25,"6001234567900","2025-12-31"
"Salt 500g",4.99,basic_groceries,"Table salt 500g container",60,"6001234567901","2026-06-30"
"Rice 2kg",22.50,basic_groceries,"Long grain white rice 2kg bag",35,"6001234567902","2026-03-31"
"Oil 1L",28.99,basic_groceries,"Vegetable cooking oil 1 liter",20,"6001234567903","2025-10-31"
"Fresh Milk 1L",18.50,dairy_eggs,"Pasteurized fresh milk 1 liter",40,"6001234567904","2024-12-06"
"Eggs Dozen",22.00,dairy_eggs,"Fresh chicken eggs - 12 pack",45,"6001234567905","2024-12-20"
"Yogurt 500g",14.99,dairy_eggs,"Plain yogurt 500g tub",25,"6001234567906","2024-12-15"
"Baked Beans 410g",6.50,canned_goods,"Canned baked beans in tomato sauce",50,"6001234567907","2025-06-30"
"Tuna in Brine 185g",9.99,canned_goods,"Canned tuna in brine/oil",40,"6001234567908","2025-09-30"
"Pilchards 400g",8.50,canned_goods,"Canned pilchard fish",35,"6001234567909","2025-08-31"
"Soap Bar 200g",4.50,personal_care,"Moisturizing bath soap",80,"6001234567910","2025-12-31"
"Shampoo 400ml",16.99,personal_care,"Hair shampoo for all hair types",30,"6001234567911","2025-09-30"
"Toothpaste 100g",8.99,personal_care,"Fluoride toothpaste 100g tube",50,"6001234567912","2025-08-31"
"Detergent 2kg",32.50,household_items,"Laundry washing powder 2kg box",25,"6001234567913","2025-12-31"
"Bleach 500ml",6.99,household_items,"Chlorine bleach 500ml bottle",40,"6001234567914","2025-12-31"
"Paper Towels 6pack",24.99,household_items,"Roll pack of 6 paper towels",20,"6001234567915","2025-12-31"
"Vodacom Airtime 100",100.00,airtime_data,"Vodacom prepaid airtime voucher R100",0,"","2025-12-31"
"MTN Airtime 50",50.00,airtime_data,"MTN prepaid airtime voucher R50",0,"","2025-12-31"
"Telkom Airtime 200",200.00,airtime_data,"Telkom prepaid airtime voucher R200",0,"","2025-12-31"
"Ice Cream 500ml",15.99,frozen_goods,"Vanilla ice cream 500ml tub",15,"6001234567916","2024-12-20"
"Frozen Pizza 400g",28.50,frozen_goods,"Frozen pepperoni pizza 400g",10,"6001234567917","2024-12-18"
"Frozen Vegetables 500g",12.50,frozen_goods,"Mixed frozen vegetables 500g bag",20,"6001234567918","2024-12-25"
"School Lunch Pack",45.00,tuckshop_packs,"Combo pack with bread, cheese, juice",0,"","2024-12-31"
"Birthday Party Pack",150.00,tuckshop_packs,"Party pack with sweets and snacks",0,"","2024-12-31"
"Ball Pens Pack 10",12.50,stationery,"Blue ball point pens - pack of 10",50,"6001234567919","2025-12-31"
"Notebooks 100 pages",8.99,stationery,"Lined notebook 100 pages",40,"6001234567920","2025-12-31"
"Pencils 12 pack",6.99,stationery,"HB wooden pencils - 12 pack",60,"6001234567921","2025-12-31"
"Baby Diapers Size M",89.99,baby_products,"Disposable baby diapers medium size 32 pack",15,"6001234567922","2025-12-31"
"Baby Formula 400g",65.50,baby_products,"Infant baby formula powder 400g",20,"6001234567923","2025-03-31"
"Baby Wipes 80 pack",22.50,baby_products,"Gentle baby wet wipes 80 count",25,"6001234567924","2025-12-31"
"Christmas Decorations",45.00,seasonal_items,"Christmas tree ornaments and tinsel set",10,"6001234567925","2024-12-31"
"Easter Eggs Assorted",35.00,seasonal_items,"Chocolate easter eggs mixed pack",5,"6001234567926","2024-03-31"
