name,sku,barcode,category,price,cost,stock,description,brand,unit,weight,tax_rate,is_active
CrunchCo Classic Salted Chips 100g,PROD001,100000000001,snacks_chips,2.49,1.20,150,Classic salted potato chips,CrunchCo,pcs,0.1,0.07,TRUE
ClearSpring Still Water 500ml,PROD002,100000000002,cold_drinks,1.49,0.60,200,500ml bottled still water,ClearSpring,bottle,0.5,0.00,TRUE
ChocoMax Milk Chocolate Bar 45g,PROD003,100000000003,sweets_treats,3.99,2.00,80,Milk chocolate bar,ChocoMax,pcs,0.045,0.12,TRUE
FarmFresh Full Cream Milk 1L,PROD004,100000000004,dairy_eggs,2.99,1.50,60,1L full cream milk,FarmFresh,carton,1.0,0.05,TRUE
DailyBake White Bread Loaf 700g,PROD005,100000000005,bread_baked,1.99,0.80,120,Fresh white bread loaf,DailyBake,loaf,0.7,0.05,TRUE
Orchard Red Apple (each),PROD006,100000000006,staple_foods,0.99,0.30,300,Fresh red apple (each),Orchard,ea,0.18,0.00,TRUE
TropiFruit Cavendish Banana (each),PROD007,100000000007,staple_foods,1.29,0.40,180,Fresh banana (each),TropiFruit,ea,0.12,0.00,TRUE
FizzUp Classic Cola 330ml,PROD008,100000000008,cold_drinks,2.49,1.10,90,330ml carbonated cola,FizzUp,can,0.33,0.10,TRUE
Nutty Salted Peanuts 150g,PROD009,100000000009,snacks_chips,1.79,0.70,140,Salted roasted peanuts,Nutty,bag,0.15,0.07,TRUE
FreshHome All-Purpose Cleaner 750ml,PROD010,100000000010,household_items,5.99,3.00,50,Multi-surface cleaner,FreshHome,bottle,0.75,0.00,TRUE
Silky Smooth Shampoo 250ml,PROD011,100000000011,personal_care,4.49,2.10,75,Nourishing shampoo 250ml,Silky,bottle,0.25,0.00,TRUE
DailyBake Butter Croissant,PROD012,100000000012,bread_baked,0.99,0.40,200,Fresh butter croissant,DailyBake,pcs,0.06,0.05,TRUE
GoodDairy Greek Yogurt 500g,PROD013,100000000013,dairy_eggs,3.49,1.70,65,Thick Greek-style yogurt,GoodDairy,tub,0.5,0.05,TRUE
NatureBite Honey & Oats Granola Bar,PROD014,100000000014,sweets_treats,2.99,1.40,95,Granola snack bar,NatureBite,pcs,0.07,0.07,TRUE
CitrusCo Pure Orange Juice 1L,PROD015,100000000015,cold_drinks,6.99,4.00,40,cold-pressed orange juice,CitrusCo,carton,1.0,0.00,TRUE
Orchard Seedless Grapes 500g,PROD016,100000000016,staple_foods,2.49,1.00,110,Seedless table grapes,Orchard,pack,0.5,0.00,TRUE
QuickBake Margherita Pizza 350g,PROD017,100000000017,frozen_goods,7.99,4.50,30,Ready-to-bake frozen pizza,QuickBake,box,0.35,0.05,TRUE
Crispy Rice Crackers 120g,PROD018,100000000018,snacks_chips,1.29,0.55,160,Light rice crackers,Crispy,bag,0.12,0.07,TRUE
SoftWipe Paper Towels 2-roll,PROD019,100000000019,household_items,3.99,1.80,85,Two-roll paper towel pack,SoftWipe,pack,0.4,0.00,TRUE
DailyBake Blueberry Muffins (2-pack),PROD020,100000000020,bread_baked,2.49,1.00,70,Fresh blueberry muffins,DailyBake,pack,0.2,0.05,TRUE
SmilePro Fluoride Toothpaste 100ml,PROD021,100000000021,personal_care,2.99,1.20,95,Toothpaste with fluoride,SmilePro,tube,0.1,0.00,TRUE
Boost Energy Drink 250ml,PROD022,100000000022,cold_drinks,0.89,0.30,250,250ml energy drink,Boost,can,0.25,0.10,TRUE
CitrusCo Navel Orange (each),PROD023,100000000023,staple_foods,1.99,0.80,140,Fresh navel orange,CitrusCo,ea,0.18,0.00,TRUE
FarmFresh Salted Butter 250g,PROD024,100000000024,dairy_eggs,2.19,1.00,130,Salted dairy butter,FarmFresh,pack,0.25,0.05,TRUE
Nutty Trail Mix 200g,PROD025,100000000025,snacks_chips,4.99,2.50,60,Mixed nuts & dried fruit,Nutty,bag,0.3,0.07,TRUE
DailyBake Sourdough Loaf 800g,PROD026,100000000026,bread_baked,3.49,1.60,55,Handmade sourdough loaf,DailyBake,loaf,0.8,0.05,TRUE
GreenFarm Frozen Mixed Veg 400g,PROD027,100000000027,frozen_goods,2.99,1.30,95,Frozen mixed vegetables,GreenFarm,bag,0.4,0.05,TRUE
BakeHouse Chocolate Chip Cookies 6-pack,PROD028,100000000028,sweets_treats,1.49,0.60,180,Chocolate chip cookies,BakeHouse,pack,0.15,0.07,TRUE
CleanMax Liquid Laundry Detergent 2L,PROD029,100000000029,household_items,8.99,5.00,25,Concentrated laundry liquid,CleanMax,bottle,2.0,0.00,TRUE
